,AÃ‘O,N_VICTIMAS,VICTIMAS_ANTERIORES,VARIACION,MES
0,2016,47,0,0.0,1
1,2016,47,0,0.0,1
2,2016,47,0,0.0,1
3,2016,47,0,0.0,1
4,2016,47,0,0.0,1
5,2016,47,0,0.0,1
6,2016,47,0,0.0,1
7,2016,47,0,0.0,1
8,2016,47,0,0.0,2
9,2016,47,0,0.0,2
10,2016,47,0,0.0,2
11,2016,47,0,0.0,2
12,2016,47,0,0.0,2
13,2016,47,0,0.0,2
14,2016,47,0,0.0,2
15,2016,47,0,0.0,2
16,2016,47,0,0.0,2
17,2016,47,0,0.0,2
18,2016,47,0,0.0,2
19,2016,47,0,0.0,2
20,2016,47,0,0.0,3
21,2016,47,0,0.0,3
22,2016,47,0,0.0,3
23,2016,47,0,0.0,3
24,2016,47,0,0.0,3
25,2016,47,0,0.0,3
26,2016,47,0,0.0,3
27,2016,47,0,0.0,3
28,2016,47,0,0.0,3
29,2016,47,0,0.0,3
30,2016,47,0,0.0,3
31,2016,47,0,0.0,3
32,2016,47,0,0.0,4
33,2016,47,0,0.0,4
34,2016,47,0,0.0,4
35,2016,47,0,0.0,4
36,2016,47,0,0.0,4
37,2016,47,0,0.0,4
38,2016,47,0,0.0,4
39,2016,47,0,0.0,4
40,2016,47,0,0.0,4
41,2016,47,0,0.0,4
42,2016,47,0,0.0,5
43,2016,47,0,0.0,5
44,2016,47,0,0.0,5
45,2016,47,0,0.0,5
46,2016,47,0,0.0,5
47,2016,47,0,0.0,5
48,2016,47,0,0.0,5
49,2016,47,0,0.0,6
50,2016,47,0,0.0,6
51,2016,47,0,0.0,6
52,2016,47,0,0.0,6
53,2016,47,0,0.0,6
54,2016,47,0,0.0,6
55,2016,47,0,0.0,6
56,2016,47,0,0.0,6
57,2016,47,0,0.0,6
58,2016,47,0,0.0,6
59,2016,47,0,0.0,6
60,2016,47,0,0.0,6
61,2016,47,0,0.0,6
62,2016,47,0,0.0,7
63,2016,47,0,0.0,7
64,2016,47,0,0.0,7
65,2016,47,0,0.0,7
66,2016,47,0,0.0,7
67,2016,47,0,0.0,7
68,2016,47,0,0.0,7
69,2016,47,0,0.0,7
70,2016,47,0,0.0,7
71,2016,47,0,0.0,7
72,2016,47,0,0.0,7
73,2016,47,0,0.0,8
74,2016,47,0,0.0,8
75,2016,47,0,0.0,8
76,2016,47,0,0.0,8
77,2016,47,0,0.0,8
78,2016,47,0,0.0,8
79,2016,47,0,0.0,8
80,2016,47,0,0.0,8
81,2016,47,0,0.0,8
82,2016,47,0,0.0,8
83,2016,47,0,0.0,8
84,2016,47,0,0.0,8
85,2016,47,0,0.0,9
86,2016,47,0,0.0,9
87,2016,47,0,0.0,9
88,2016,47,0,0.0,9
89,2016,47,0,0.0,9
90,2016,47,0,0.0,9
91,2016,47,0,0.0,9
92,2016,47,0,0.0,9
93,2016,47,0,0.0,9
94,2016,47,0,0.0,9
95,2016,47,0,0.0,9
96,2016,47,0,0.0,10
97,2016,47,0,0.0,10
98,2016,47,0,0.0,10
99,2016,47,0,0.0,10
100,2016,47,0,0.0,10
101,2016,47,0,0.0,10
102,2016,47,0,0.0,10
103,2016,47,0,0.0,10
104,2016,47,0,0.0,10
105,2016,47,0,0.0,10
106,2016,47,0,0.0,10
107,2016,47,0,0.0,10
108,2016,47,0,0.0,11
109,2016,47,0,0.0,11
110,2016,47,0,0.0,11
111,2016,47,0,0.0,11
112,2016,47,0,0.0,11
113,2016,47,0,0.0,11
114,2016,47,0,0.0,11
115,2016,47,0,0.0,11
116,2016,47,0,0.0,11
117,2016,47,0,0.0,11
118,2016,47,0,0.0,11
119,2016,47,0,0.0,11
120,2016,47,0,0.0,12
121,2016,47,0,0.0,12
122,2016,47,0,0.0,12
123,2016,47,0,0.0,12
124,2016,47,0,0.0,12
125,2016,47,0,0.0,12
126,2016,47,0,0.0,12
127,2016,47,0,0.0,12
128,2016,47,0,0.0,12
129,2016,47,0,0.0,12
130,2016,47,0,0.0,12
131,2016,47,0,0.0,12
132,2016,47,0,0.0,12
133,2016,47,0,0.0,12
134,2016,47,0,0.0,12
135,2016,47,0,0.0,12
136,2016,47,0,0.0,12
137,2017,47,47,0.0,1
138,2017,47,47,0.0,1
139,2017,47,47,0.0,1
140,2017,47,47,0.0,1
141,2017,47,47,0.0,1
142,2017,47,47,0.0,1
143,2017,47,47,0.0,1
144,2017,47,47,0.0,1
145,2017,47,47,0.0,2
146,2017,47,47,0.0,2
147,2017,47,47,0.0,2
148,2017,47,47,0.0,2
149,2017,47,47,0.0,2
150,2017,47,47,0.0,2
151,2017,47,47,0.0,2
152,2017,47,47,0.0,2
153,2017,47,47,0.0,2
154,2017,47,47,0.0,2
155,2017,47,47,0.0,2
156,2017,47,47,0.0,3
157,2017,47,47,0.0,3
158,2017,47,47,0.0,3
159,2017,47,47,0.0,3
160,2017,47,47,0.0,3
161,2017,47,47,0.0,3
162,2017,47,47,0.0,3
163,2017,47,47,0.0,3
164,2017,47,47,0.0,3
165,2017,47,47,0.0,3
166,2017,47,47,0.0,3
167,2017,47,47,0.0,3
168,2017,47,47,0.0,4
169,2017,47,47,0.0,4
170,2017,47,47,0.0,4
171,2017,47,47,0.0,4
172,2017,47,47,0.0,4
173,2017,47,47,0.0,4
174,2017,47,47,0.0,4
175,2017,47,47,0.0,4
176,2017,47,47,0.0,5
177,2017,47,47,0.0,5
178,2017,47,47,0.0,5
179,2017,47,47,0.0,5
180,2017,47,47,0.0,5
181,2017,47,47,0.0,5
182,2017,47,47,0.0,5
183,2017,47,47,0.0,5
184,2017,47,47,0.0,5
185,2017,47,47,0.0,5
186,2017,47,47,0.0,5
187,2017,47,47,0.0,5
188,2017,47,47,0.0,5
189,2017,47,47,0.0,5
190,2017,47,47,0.0,5
191,2017,47,47,0.0,5
192,2017,47,47,0.0,5
193,2017,47,47,0.0,5
194,2017,47,47,0.0,6
195,2017,47,47,0.0,6
196,2017,47,47,0.0,6
197,2017,47,47,0.0,6
198,2017,47,47,0.0,6
199,2017,47,47,0.0,6
200,2017,47,47,0.0,6
201,2017,47,47,0.0,6
202,2017,47,47,0.0,7
203,2017,47,47,0.0,7
204,2017,47,47,0.0,7
205,2017,47,47,0.0,7
206,2017,47,47,0.0,7
207,2017,47,47,0.0,7
208,2017,47,47,0.0,7
209,2017,47,47,0.0,7
210,2017,47,47,0.0,7
211,2017,47,47,0.0,7
212,2017,47,47,0.0,7
213,2017,47,47,0.0,7
214,2017,47,47,0.0,8
215,2017,47,47,0.0,8
216,2017,47,47,0.0,8
217,2017,47,47,0.0,8
218,2017,47,47,0.0,8
219,2017,47,47,0.0,8
220,2017,47,47,0.0,8
221,2017,47,47,0.0,8
222,2017,47,47,0.0,9
223,2017,47,47,0.0,9
224,2017,47,47,0.0,9
225,2017,47,47,0.0,9
226,2017,47,47,0.0,9
227,2017,47,47,0.0,9
228,2017,47,47,0.0,9
229,2017,47,47,0.0,9
230,2017,47,47,0.0,9
231,2017,47,47,0.0,9
232,2017,47,47,0.0,9
233,2017,47,47,0.0,10
234,2017,47,47,0.0,10
235,2017,47,47,0.0,10
236,2017,47,47,0.0,10
237,2017,47,47,0.0,10
238,2017,47,47,0.0,10
239,2017,47,47,0.0,10
240,2017,47,47,0.0,10
241,2017,47,47,0.0,10
242,2017,47,47,0.0,10
243,2017,47,47,0.0,10
244,2017,47,47,0.0,11
245,2017,47,47,0.0,11
246,2017,47,47,0.0,11
247,2017,47,47,0.0,11
248,2017,47,47,0.0,11
249,2017,47,47,0.0,11
250,2017,47,47,0.0,11
251,2017,47,47,0.0,11
252,2017,47,47,0.0,11
253,2017,47,47,0.0,11
254,2017,47,47,0.0,11
255,2017,47,47,0.0,11
256,2017,47,47,0.0,11
257,2017,47,47,0.0,11
258,2017,47,47,0.0,12
259,2017,47,47,0.0,12
260,2017,47,47,0.0,12
261,2017,47,47,0.0,12
262,2017,47,47,0.0,12
263,2017,47,47,0.0,12
264,2017,47,47,0.0,12
265,2017,47,47,0.0,12
266,2017,47,47,0.0,12
267,2017,47,47,0.0,12
268,2017,47,47,0.0,12
269,2017,47,47,0.0,12
270,2018,66,47,40.43,1
271,2018,66,47,40.43,1
272,2018,66,47,40.43,1
273,2018,66,47,40.43,1
274,2018,66,47,40.43,1
275,2018,66,47,40.43,1
276,2018,66,47,40.43,1
277,2018,66,47,40.43,1
278,2018,66,47,40.43,1
279,2018,66,47,40.43,1
280,2018,66,47,40.43,1
281,2018,66,47,40.43,1
282,2018,66,47,40.43,2
283,2018,66,47,40.43,2
284,2018,66,47,40.43,2
285,2018,66,47,40.43,2
286,2018,66,47,40.43,2
287,2018,66,47,40.43,2
288,2018,66,47,40.43,2
289,2018,66,47,40.43,2
290,2018,66,47,40.43,2
291,2018,66,47,40.43,2
292,2018,66,47,40.43,2
293,2018,66,47,40.43,3
294,2018,66,47,40.43,3
295,2018,66,47,40.43,3
296,2018,66,47,40.43,3
297,2018,66,47,40.43,3
298,2018,66,47,40.43,3
299,2018,66,47,40.43,4
300,2018,66,47,40.43,4
301,2018,66,47,40.43,4
302,2018,66,47,40.43,4
303,2018,66,47,40.43,4
304,2018,66,47,40.43,4
305,2018,66,47,40.43,4
306,2018,66,47,40.43,4
307,2018,66,47,40.43,4
308,2018,66,47,40.43,4
309,2018,66,47,40.43,4
310,2018,66,47,40.43,4
311,2018,66,47,40.43,4
312,2018,66,47,40.43,4
313,2018,66,47,40.43,4
314,2018,66,47,40.43,5
315,2018,66,47,40.43,5
316,2018,66,47,40.43,5
317,2018,66,47,40.43,5
318,2018,66,47,40.43,5
319,2018,66,47,40.43,5
320,2018,66,47,40.43,5
321,2018,66,47,40.43,5
322,2018,66,47,40.43,5
323,2018,66,47,40.43,5
324,2018,66,47,40.43,6
325,2018,66,47,40.43,6
326,2018,66,47,40.43,6
327,2018,66,47,40.43,6
328,2018,66,47,40.43,6
329,2018,66,47,40.43,6
330,2018,66,47,40.43,6
331,2018,66,47,40.43,6
332,2018,66,47,40.43,6
333,2018,66,47,40.43,6
334,2018,66,47,40.43,6
335,2018,66,47,40.43,7
336,2018,66,47,40.43,7
337,2018,66,47,40.43,7
338,2018,66,47,40.43,7
339,2018,66,47,40.43,7
340,2018,66,47,40.43,7
341,2018,66,47,40.43,7
342,2018,66,47,40.43,7
343,2018,66,47,40.43,7
344,2018,66,47,40.43,7
345,2018,66,47,40.43,7
346,2018,66,47,40.43,7
347,2018,66,47,40.43,7
348,2018,66,47,40.43,8
349,2018,66,47,40.43,8
350,2018,66,47,40.43,8
351,2018,66,47,40.43,8
352,2018,66,47,40.43,8
353,2018,66,47,40.43,8
354,2018,66,47,40.43,8
355,2018,66,47,40.43,8
356,2018,66,47,40.43,8
357,2018,66,47,40.43,8
358,2018,66,47,40.43,8
359,2018,66,47,40.43,8
360,2018,66,47,40.43,8
361,2018,66,47,40.43,8
362,2018,66,47,40.43,8
363,2018,66,47,40.43,8
364,2018,66,47,40.43,9
365,2018,66,47,40.43,9
366,2018,66,47,40.43,9
367,2018,66,47,40.43,9
368,2018,66,47,40.43,9
369,2018,66,47,40.43,9
370,2018,66,47,40.43,10
371,2018,66,47,40.43,10
372,2018,66,47,40.43,10
373,2018,66,47,40.43,10
374,2018,66,47,40.43,10
375,2018,66,47,40.43,10
376,2018,66,47,40.43,10
377,2018,66,47,40.43,10
378,2018,66,47,40.43,10
379,2018,66,47,40.43,10
380,2018,66,47,40.43,10
381,2018,66,47,40.43,10
382,2018,66,47,40.43,11
383,2018,66,47,40.43,11
384,2018,66,47,40.43,11
385,2018,66,47,40.43,11
386,2018,66,47,40.43,11
387,2018,66,47,40.43,11
388,2018,66,47,40.43,11
389,2018,66,47,40.43,11
390,2018,66,47,40.43,11
391,2018,66,47,40.43,11
392,2018,66,47,40.43,11
393,2018,66,47,40.43,11
394,2018,66,47,40.43,11
395,2018,66,47,40.43,11
396,2018,66,47,40.43,11
397,2018,66,47,40.43,12
398,2018,66,47,40.43,12
399,2018,66,47,40.43,12
400,2018,66,47,40.43,12
401,2018,66,47,40.43,12
402,2018,66,47,40.43,12
403,2018,66,47,40.43,12
404,2018,66,47,40.43,12
405,2018,66,47,40.43,12
406,2018,66,47,40.43,12
407,2018,66,47,40.43,12
408,2018,66,47,40.43,12
409,2018,66,47,40.43,12
410,2018,66,47,40.43,12
411,2019,37,66,-43.94,1
412,2019,37,66,-43.94,1
413,2019,37,66,-43.94,1
414,2019,37,66,-43.94,1
415,2019,37,66,-43.94,1
416,2019,37,66,-43.94,1
417,2019,37,66,-43.94,1
418,2019,37,66,-43.94,1
419,2019,37,66,-43.94,2
420,2019,37,66,-43.94,2
421,2019,37,66,-43.94,2
422,2019,37,66,-43.94,2
423,2019,37,66,-43.94,2
424,2019,37,66,-43.94,2
425,2019,37,66,-43.94,2
426,2019,37,66,-43.94,2
427,2019,37,66,-43.94,3
428,2019,37,66,-43.94,3
429,2019,37,66,-43.94,3
430,2019,37,66,-43.94,3
431,2019,37,66,-43.94,3
432,2019,37,66,-43.94,3
433,2019,37,66,-43.94,3
434,2019,37,66,-43.94,3
435,2019,37,66,-43.94,3
436,2019,37,66,-43.94,3
437,2019,37,66,-43.94,4
438,2019,37,66,-43.94,4
439,2019,37,66,-43.94,4
440,2019,37,66,-43.94,4
441,2019,37,66,-43.94,4
442,2019,37,66,-43.94,4
443,2019,37,66,-43.94,4
444,2019,37,66,-43.94,4
445,2019,37,66,-43.94,4
446,2019,37,66,-43.94,5
447,2019,37,66,-43.94,5
448,2019,37,66,-43.94,5
449,2019,37,66,-43.94,5
450,2019,37,66,-43.94,5
451,2019,37,66,-43.94,5
452,2019,37,66,-43.94,5
453,2019,37,66,-43.94,6
454,2019,37,66,-43.94,6
455,2019,37,66,-43.94,6
456,2019,37,66,-43.94,6
457,2019,37,66,-43.94,6
458,2019,37,66,-43.94,6
459,2019,37,66,-43.94,6
460,2019,37,66,-43.94,6
461,2019,37,66,-43.94,6
462,2019,37,66,-43.94,6
463,2019,37,66,-43.94,6
464,2019,37,66,-43.94,5
465,2019,37,66,-43.94,7
466,2019,37,66,-43.94,7
467,2019,37,66,-43.94,7
468,2019,37,66,-43.94,7
469,2019,37,66,-43.94,7
470,2019,37,66,-43.94,8
471,2019,37,66,-43.94,8
472,2019,37,66,-43.94,8
473,2019,37,66,-43.94,8
474,2019,37,66,-43.94,8
475,2019,37,66,-43.94,8
476,2019,37,66,-43.94,8
477,2019,37,66,-43.94,8
478,2019,37,66,-43.94,8
479,2019,37,66,-43.94,8
480,2019,37,66,-43.94,8
481,2019,37,66,-43.94,8
482,2019,37,66,-43.94,8
483,2019,37,66,-43.94,8
484,2019,37,66,-43.94,9
485,2019,37,66,-43.94,9
486,2019,37,66,-43.94,9
487,2019,37,66,-43.94,9
488,2019,37,66,-43.94,9
489,2019,37,66,-43.94,9
490,2019,37,66,-43.94,9
491,2019,37,66,-43.94,9
492,2019,37,66,-43.94,9
493,2019,37,66,-43.94,10
494,2019,37,66,-43.94,10
495,2019,37,66,-43.94,10
496,2019,37,66,-43.94,10
497,2019,37,66,-43.94,10
498,2019,37,66,-43.94,11
499,2019,37,66,-43.94,11
500,2019,37,66,-43.94,11
501,2019,37,66,-43.94,11
502,2019,37,66,-43.94,11
503,2019,37,66,-43.94,12
504,2019,37,66,-43.94,12
505,2019,37,66,-43.94,12
506,2019,37,66,-43.94,12
507,2020,34,37,-8.11,1
508,2020,34,37,-8.11,1
509,2020,34,37,-8.11,1
510,2020,34,37,-8.11,1
511,2020,34,37,-8.11,1
512,2020,34,37,-8.11,1
513,2020,34,37,-8.11,1
514,2020,34,37,-8.11,1
515,2020,34,37,-8.11,2
516,2020,34,37,-8.11,2
517,2020,34,37,-8.11,2
518,2020,34,37,-8.11,2
519,2020,34,37,-8.11,2
520,2020,34,37,-8.11,2
521,2020,34,37,-8.11,2
522,2020,34,37,-8.11,2
523,2020,34,37,-8.11,3
524,2020,34,37,-8.11,3
525,2020,34,37,-8.11,3
526,2020,34,37,-8.11,3
527,2020,34,37,-8.11,3
528,2020,34,37,-8.11,4
529,2020,34,37,-8.11,4
530,2020,34,37,-8.11,4
531,2020,34,37,-8.11,5
532,2020,34,37,-8.11,5
533,2020,34,37,-8.11,5
534,2020,34,37,-8.11,5
535,2020,34,37,-8.11,6
536,2020,34,37,-8.11,6
537,2020,34,37,-8.11,7
538,2020,34,37,-8.11,7
539,2020,34,37,-8.11,8
540,2020,34,37,-8.11,8
541,2020,34,37,-8.11,8
542,2020,34,37,-8.11,8
543,2020,34,37,-8.11,8
544,2020,34,37,-8.11,8
545,2020,34,37,-8.11,9
546,2020,34,37,-8.11,9
547,2020,34,37,-8.11,9
548,2020,34,37,-8.11,9
549,2020,34,37,-8.11,9
550,2020,34,37,-8.11,10
551,2020,34,37,-8.11,10
552,2020,34,37,-8.11,10
553,2020,34,37,-8.11,10
554,2020,34,37,-8.11,10
555,2020,34,37,-8.11,10
556,2020,34,37,-8.11,11
557,2020,34,37,-8.11,11
558,2020,34,37,-8.11,11
559,2020,34,37,-8.11,11
560,2020,34,37,-8.11,11
561,2020,34,37,-8.11,11
562,2020,34,37,-8.11,11
563,2020,34,37,-8.11,11
564,2020,34,37,-8.11,11
565,2020,34,37,-8.11,12
566,2020,34,37,-8.11,12
567,2020,34,37,-8.11,12
568,2020,34,37,-8.11,12
569,2020,34,37,-8.11,12
570,2020,34,37,-8.11,12
571,2020,34,37,-8.11,12
572,2020,34,37,-8.11,12
573,2020,34,37,-8.11,12
574,2020,34,37,-8.11,12
575,2020,34,37,-8.11,12
576,2020,34,37,-8.11,12
577,2020,34,37,-8.11,12
578,2020,34,37,-8.11,12
579,2020,34,37,-8.11,12
580,2020,34,37,-8.11,12
581,2020,34,37,-8.11,12
582,2020,34,37,-8.11,12
583,2020,34,37,-8.11,12
584,2020,34,37,-8.11,12
585,2021,33,34,-2.94,1
586,2021,33,34,-2.94,1
587,2021,33,34,-2.94,1
588,2021,33,34,-2.94,1
589,2021,33,34,-2.94,1
590,2021,33,34,-2.94,1
591,2021,33,34,-2.94,1
592,2021,33,34,-2.94,1
593,2021,33,34,-2.94,1
594,2021,33,34,-2.94,1
595,2021,33,34,-2.94,1
596,2021,33,34,-2.94,1
597,2021,33,34,-2.94,1
598,2021,33,34,-2.94,2
599,2021,33,34,-2.94,2
600,2021,33,34,-2.94,2
601,2021,33,34,-2.94,2
602,2021,33,34,-2.94,2
603,2021,33,34,-2.94,2
604,2021,33,34,-2.94,2
605,2021,33,34,-2.94,2
606,2021,33,34,-2.94,2
607,2021,33,34,-2.94,3
608,2021,33,34,-2.94,3
609,2021,33,34,-2.94,3
610,2021,33,34,-2.94,3
611,2021,33,34,-2.94,3
612,2021,33,34,-2.94,3
613,2021,33,34,-2.94,4
614,2021,33,34,-2.94,4
615,2021,33,34,-2.94,4
616,2021,33,34,-2.94,4
617,2021,33,34,-2.94,4
618,2021,33,34,-2.94,5
619,2021,33,34,-2.94,5
620,2021,33,34,-2.94,5
621,2021,33,34,-2.94,5
622,2021,33,34,-2.94,5
623,2021,33,34,-2.94,5
624,2021,33,34,-2.94,5
625,2021,33,34,-2.94,5
626,2021,33,34,-2.94,5
627,2021,33,34,-2.94,5
628,2021,33,34,-2.94,5
629,2021,33,34,-2.94,6
630,2021,33,34,-2.94,6
631,2021,33,34,-2.94,6
632,2021,33,34,-2.94,6
633,2021,33,34,-2.94,6
634,2021,33,34,-2.94,6
635,2021,33,34,-2.94,6
636,2021,33,34,-2.94,6
637,2021,33,34,-2.94,6
638,2021,33,34,-2.94,7
639,2021,33,34,-2.94,7
640,2021,33,34,-2.94,7
641,2021,33,34,-2.94,7
642,2021,33,34,-2.94,7
643,2021,33,34,-2.94,7
644,2021,33,34,-2.94,7
645,2021,33,34,-2.94,8
646,2021,33,34,-2.94,8
647,2021,33,34,-2.94,8
648,2021,33,34,-2.94,8
649,2021,33,34,-2.94,8
650,2021,33,34,-2.94,8
651,2021,33,34,-2.94,8
652,2021,33,34,-2.94,8
653,2021,33,34,-2.94,8
654,2021,33,34,-2.94,9
655,2021,33,34,-2.94,9
656,2021,33,34,-2.94,9
657,2021,33,34,-2.94,10
658,2021,33,34,-2.94,10
659,2021,33,34,-2.94,10
660,2021,33,34,-2.94,10
661,2021,33,34,-2.94,10
662,2021,33,34,-2.94,11
663,2021,33,34,-2.94,11
664,2021,33,34,-2.94,11
665,2021,33,34,-2.94,11
666,2021,33,34,-2.94,11
667,2021,33,34,-2.94,11
668,2021,33,34,-2.94,11
669,2021,33,34,-2.94,12
670,2021,33,34,-2.94,12
671,2021,33,34,-2.94,12
672,2021,33,34,-2.94,12
673,2021,33,34,-2.94,12
674,2021,33,34,-2.94,12
675,2021,33,34,-2.94,12
676,2021,33,34,-2.94,12
677,2021,33,34,-2.94,12
678,2021,33,34,-2.94,11
